[PSDMarkerDump] Kind=pikNone Caption="レイヤー" File="D:\aviutl110\PSD_Data\nuigurumi_whitecul\ぬいぐるみ風【WhiteCUL】\WhiteCUL.psd"

D=0 V=1 M=! Name="!v1"
D=1 V=0 M=  Name="マーク"
D=2 V=0 M=+ Name="+笑い"
D=2 V=0 M=+ Name="+汗"
D=2 V=0 M=+ Name="+怒り"
D=2 V=0 M=+ Name="+ハート"
D=2 V=0 M=+ Name="+絆創膏"
D=2 V=0 M=+ Name="+？マーク"
D=2 V=0 M=+ Name="+！マーク"
D=1 V=1 M=  Name="腕"
D=2 V=1 M=  Name="左腕"
D=3 V=1 M=* Name="*基本　左"
D=3 V=0 M=* Name="*下げる　左"
D=3 V=0 M=* Name="*上げる　左"
D=3 V=0 M=* Name="*Vサイン　左"
D=3 V=0 M=* Name="*グー　左"
D=3 V=0 M=* Name="*カンペ　左"
D=2 V=1 M=  Name="右腕"
D=3 V=1 M=* Name="*基本　右"
D=3 V=0 M=* Name="*下げる　右"
D=3 V=0 M=* Name="*上げる　右"
D=3 V=0 M=* Name="*Vサイン　右"
D=3 V=0 M=* Name="*グー　右"
D=1 V=0 M=  Name="頭"
D=2 V=1 M=* Name="*ケモ耳"
D=1 V=1 M=  Name="目"
D=2 V=1 M=* Name="*基本"
D=2 V=0 M=* Name="*笑顔"
D=2 V=0 M=* Name="*怒り"
D=2 V=0 M=* Name="*悲しい"
D=2 V=0 M=* Name="*涙目"
D=2 V=0 M=* Name="*泣き"
D=2 V=0 M=* Name="*細目"
D=2 V=0 M=* Name="*ジト目"
D=2 V=0 M=* Name="*キョトン"
D=2 V=0 M=* Name="*驚き"
D=2 V=0 M=* Name="*＞＜"
D=2 V=0 M=* Name="*××"
D=2 V=0 M=* Name="*グルグル"
D=2 V=0 M=* Name="*死んだ目"
D=2 V=0 M=* Name="*キラキラ"
D=2 V=0 M=* Name="*キュピーン"
D=2 V=0 M=* Name="*目瞑り"
D=2 V=0 M=* Name="*＼ ／"
D=1 V=1 M=  Name="体"

[PSDMarkerDumpEnd]
