[PSDMarkerDump] Kind=pikKosukeSantaMaria Caption="こーすけさんたまりあPSD" File="D:\aviutl110\PSD_Data\Tsurumaki_Maki_1.0.5\弦巻マキ - 公式(小).psd"
[PSDMarkerRoute] HasStarLayer=True after custom markers -> ApplyVirtualMarker("+")

D=0 V=1 M=! Name="!v1"
D=1 V=1 M=  Name="記号"
D=2 V=0 M=+ Name="+鼻血"
D=2 V=0 M=+ Name="+||||||"
D=2 V=0 M=+ Name="+♡♡"
D=2 V=0 M=+ Name="+星"
D=2 V=0 M=+ Name="+♪"
D=2 V=0 M=+ Name="+電球"
D=2 V=0 M=+ Name="+レイヤー 241"
D=2 V=0 M=+ Name="+煙"
D=2 V=0 M=+ Name="+発見"
D=2 V=0 M=+ Name="+ビックリ"
D=2 V=0 M=! Name="!?"
D=2 V=0 M=! Name="!?"
D=2 V=0 M=! Name="!?"
D=2 V=0 M=+ Name="+怒り"
D=2 V=0 M=+ Name="+ぽわぽわ"
D=2 V=0 M=+ Name="+ふんす"
D=2 V=0 M=+ Name="+気付く"
D=2 V=0 M=+ Name="+はしゃぐ"
D=2 V=0 M=+ Name="+汗大粒"
D=2 V=0 M=+ Name="+汗三連"
D=1 V=1 M=  Name="弦巻マキ"
D=2 V=1 M=! Name="!腕"
D=3 V=0 M=* Name="*キャビンアテンダント腕"
D=4 V=1 M=* Name="*後ろ手"
D=4 V=0 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*つんつん"
D=4 V=0 M=* Name="*腕組(両)"
D=4 V=0 M=* Name="*悩む(右)"
D=4 V=0 M=* Name="*しー(右)"
D=4 V=0 M=* Name="*頬"
D=4 V=0 M=* Name="*ばんざいぐー"
D=4 V=0 M=* Name="*ばんざいちょき"
D=4 V=0 M=* Name="*ばんざいぱー"
D=3 V=0 M=* Name="*CeVIO腕"
D=4 V=1 M=* Name="*後ろ手"
D=4 V=0 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*つんつん"
D=4 V=0 M=* Name="*腕組(両)"
D=4 V=0 M=* Name="*悩む(右)"
D=4 V=0 M=* Name="*しー(右)"
D=4 V=0 M=* Name="*頬"
D=4 V=0 M=* Name="*ばんざいぐー"
D=4 V=0 M=* Name="*ばんざいちょき"
D=4 V=0 M=* Name="*ばんざいぱー"
D=3 V=0 M=* Name="*カフェ腕"
D=4 V=1 M=* Name="*後ろ手"
D=4 V=0 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*つんつん"
D=4 V=0 M=* Name="*腕組(両)"
D=4 V=0 M=* Name="*悩む(右)"
D=4 V=0 M=* Name="*しー(右)"
D=4 V=0 M=* Name="*頬"
D=4 V=0 M=* Name="*ばんざいぐー"
D=4 V=0 M=* Name="*ばんざいちょき"
D=4 V=0 M=* Name="*ばんざいぱー"
D=3 V=0 M=* Name="*シンセV腕"
D=4 V=1 M=* Name="*後ろ手"
D=4 V=0 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*つんつん"
D=4 V=0 M=* Name="*腕組(両)"
D=4 V=0 M=* Name="*悩む(右)"
D=4 V=0 M=* Name="*しー(右)"
D=4 V=0 M=* Name="*頬"
D=4 V=0 M=* Name="*ばんざいぐー"
D=4 V=0 M=* Name="*ばんざいちょき"
D=4 V=0 M=* Name="*ばんざいぱー"
D=3 V=0 M=* Name="*レースクイーン腕"
D=4 V=1 M=* Name="*後ろ手"
D=4 V=0 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*つんつん"
D=4 V=0 M=* Name="*腕組(両)"
D=4 V=0 M=* Name="*悩む(右)"
D=4 V=0 M=* Name="*しー(右)"
D=4 V=0 M=* Name="*頬"
D=4 V=0 M=* Name="*ばんざいぐー"
D=4 V=0 M=* Name="*ばんざいちょき"
D=4 V=0 M=* Name="*ばんざいぱー"
D=3 V=0 M=* Name="*制服冬腕"
D=4 V=1 M=* Name="*後ろ手"
D=4 V=0 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*つんつん"
D=4 V=0 M=* Name="*腕組(両)"
D=4 V=0 M=* Name="*悩む(右)"
D=4 V=0 M=* Name="*しー(右)"
D=4 V=0 M=* Name="*頬"
D=4 V=0 M=* Name="*ばんざいぐー"
D=4 V=0 M=* Name="*ばんざいちょき"
D=4 V=0 M=* Name="*ばんざいぱー"
D=3 V=0 M=* Name="*制服夏腕"
D=4 V=1 M=* Name="*後ろ手"
D=4 V=0 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*つんつん"
