デバッグ出力: [PSDMarkerDump] Stage=Before Kind=pikNone Root="" File="D:\aviutl110\PSD_Data\きりたん座り絵_v01.05\きりたん座り絵_v01.05.psd" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=0 V=1 M=! Name="!v1" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=1 V=1 M=  Name="きりたん" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=2 V=0 M=  Name="効果" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="きらーん" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="ムカッ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="汗" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="汗2" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="がぁ！" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="ふんふん" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="たま" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="ざーこ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="はーと" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="はぁはぁ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="カハッ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="((" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=0 M=  Name="ビュフ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=2 V=1 M=  Name="ポーズ1" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=3 V=1 M=  Name="表情" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=4 V=0 M=  Name="影" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=4 V=1 M=  Name="簡易表情セット" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*はぁはぁ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*いきり" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*に" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*くわっ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*きらきら" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*うるうる" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=1 M=* Name="*普通1" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*普通2" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*普通3" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*ハイライトなし" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*ぐるぐる" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*ぷく" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*す" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*にこ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*白め" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*あへ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*3" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*ウィンク" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*○" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*くわっ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*きりたんぽ吐血" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*きりたんぽ" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*吐血" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*じと白" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=4 V=0 M=  Name="眉" プロセス Syncroh2_Desktop.exe (26332)
デバッグ出力: D=5 V=0 M=* Name="*はぁはぁ " プロセス Syncroh2_Desktop.exe (26332)
