[PSDMarkerDump] Kind=pikNone Caption="不明" File="D:\aviutl110\PSD_Data\たおたお\四国めたん_立ち絵\四国めたん_立ち絵.psd"
[PSDMarkerRoute] HasStarLayer=True after custom markers -> ApplyVirtualMarker("+")

D=0 V=1 M=! Name="!v1"
D=1 V=1 M=  Name="四国めたん"
D=2 V=0 M=  Name="チア_ポンポン"
D=3 V=1 M=  Name="左腕"
D=4 V=1 M=* Name="*腕差分1"
D=4 V=0 M=* Name="*腕差分2"
D=4 V=0 M=* Name="*腕差分3"
D=4 V=0 M=* Name="*腕差分4"
D=3 V=1 M=  Name="右腕"
D=4 V=1 M=* Name="*腕差分1"
D=4 V=0 M=* Name="*腕差分2"
D=4 V=0 M=* Name="*腕差分3"
D=4 V=0 M=* Name="*腕差分4"
D=2 V=0 M=  Name="漫符"
D=3 V=0 M=* Name="*溜息"
D=3 V=0 M=* Name="*音符"
D=3 V=0 M=* Name="*怒り"
D=3 V=0 M=* Name="*うぐぐ"
D=3 V=0 M=* Name="*ビクッ"
D=3 V=0 M=* Name="*キラン"
D=3 V=0 M=* Name="*ハート割れ"
D=3 V=0 M=* Name="*ハート"
D=3 V=0 M=* Name="*ピコン"
D=3 V=0 M=* Name="*あせあせ"
D=3 V=0 M=* Name="*汗"
D=3 V=0 M=* Name="*ガーン"
D=3 V=0 M=* Name="*ぐぬぬ"
D=3 V=0 M=* Name="*ワイワイ"
D=4 V=1 M=* Name="*ワイワイ1"
D=4 V=1 M=* Name="*ワイワイ2"
D=3 V=0 M=* Name="*ケラケラ"
D=3 V=0 M=* Name="*！？"
D=3 V=0 M=* Name="*？"
D=3 V=0 M=* Name="*！"
D=2 V=1 M=! Name="!顔回り"
D=3 V=1 M=  Name="前髪"
D=3 V=1 M=  Name="髪飾り"
D=4 V=1 M=* Name="*通常衣装_カチューシャ"
D=4 V=0 M=* Name="*制服_リボン"
D=4 V=0 M=* Name="*バニー_カチューシャ"
D=4 V=0 M=* Name="*水着_カチューシャ"
D=4 V=0 M=* Name="*チア_リボン"
D=4 V=0 M=* Name="*体操服_シュシュ"
D=4 V=0 M=* Name="*私服1_カチューシャ"
D=4 V=0 M=* Name="*シュシュ(ピンク)"
D=3 V=0 M=  Name="特殊効果"
D=4 V=1 M=  Name="顔影"
D=5 V=0 M=* Name="*1"
D=5 V=0 M=* Name="*2"
D=4 V=1 M=  Name="汗"
D=5 V=0 M=* Name="*汗_1"
D=5 V=0 M=* Name="*汗_2"
D=5 V=0 M=* Name="*汗_3"
D=4 V=1 M=  Name="涙"
D=5 V=0 M=* Name="*涙_1"
D=5 V=0 M=* Name="*涙_2"
D=3 V=0 M=  Name="汗"
D=4 V=0 M=* Name="*3"
D=4 V=0 M=* Name="*2"
D=4 V=0 M=* Name="*1"
D=3 V=0 M=  Name="涙"
D=4 V=0 M=* Name="*2"
D=4 V=0 M=* Name="*1"
D=3 V=1 M=  Name="眉"
D=4 V=1 M=* Name="*通常"
D=4 V=0 M=* Name="*喜_1"
D=4 V=0 M=* Name="*喜_2"
D=4 V=0 M=* Name="*怒_1"
D=4 V=0 M=* Name="*怒_2"
D=4 V=0 M=* Name="*哀_1"
D=4 V=0 M=* Name="*哀_2"
D=4 V=0 M=* Name="*驚"
D=4 V=0 M=* Name="*困"
D=4 V=0 M=* Name="*麻呂"
D=3 V=1 M=  Name="目"
D=4 V=1 M=* Name="*通常_1_1"
D=4 V=0 M=* Name="*通常_1_2_逸らし"
D=4 V=0 M=* Name="*通常_1_3_見下"
D=4 V=0 M=* Name="*通常_1_4_上目"
D=4 V=0 M=* Name="*閉じ"
D=4 V=0 M=* Name="*閉じ　笑い"
D=4 V=0 M=* Name="*半目"
D=4 V=0 M=* Name="*○○_1"
D=4 V=0 M=* Name="*○○_1_涙"
D=4 V=0 M=* Name="*○○_2"
D=4 V=0 M=* Name="*○○_2_涙"
D=4 V=0 M=* Name="*三白眼_1_1"
D=4 V=0 M=* Name="*三白眼_2_1"
D=4 V=0 M=* Name="*三白眼_2_2"
D=4 V=0 M=* Name="*T T_1_1"
D=4 V=0 M=* Name="*T T_1_2"
D=4 V=0 M=* Name="*グルグル_1"
D=4 V=0 M=* Name="*グルグル_2"
D=4 V=0 M=* Name="*ジト目_1_1"
D=4 V=0 M=* Name="*ジト目_1_2_逸らし"
D=4 V=0 M=* Name="*ジト目_1_3_見下"
D=4 V=0 M=* Name="*ハート_1_1"
