[PSDMarkerDump] Kind=pikNone Caption="レイヤー" File="D:\VoiceroidProj\PSD\こーすけさんたまりあ\akane_kotonoha_1.2.1\琴葉茜 - 私服(小).psd"

D=0 V=1 M=! Name="!v1"
D=1 V=1 M=  Name="記号"
D=2 V=0 M=+ Name="+||||||"
D=2 V=0 M=+ Name="+♡♡"
D=2 V=0 M=+ Name="+星"
D=2 V=0 M=+ Name="+音符"
D=2 V=0 M=+ Name="+電球"
D=2 V=0 M=+ Name="+煙"
D=2 V=0 M=+ Name="+発見"
D=2 V=0 M=+ Name="+ビックリ"
D=2 V=0 M=! Name="!?"
D=2 V=0 M=! Name="!?"
D=2 V=0 M=! Name="!?"
D=2 V=0 M=+ Name="+怒り"
D=2 V=0 M=+ Name="+怒り"
D=2 V=0 M=+ Name="+ぽわぽわ"
D=2 V=0 M=+ Name="+ふんす"
D=2 V=0 M=+ Name="+気付く"
D=2 V=0 M=+ Name="+はしゃぐ"
D=2 V=0 M=+ Name="+汗大粒"
D=2 V=0 M=+ Name="+汗三連"
D=1 V=1 M=  Name="琴葉茜"
D=2 V=1 M=  Name="腕"
D=3 V=0 M=  Name="パジャマ腕"
D=4 V=1 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*ばんざいぐー"
D=4 V=0 M=* Name="*ばんざいちょき"
D=4 V=0 M=* Name="*ばんざいぱー"
D=4 V=0 M=* Name="*つんつん"
D=4 V=0 M=* Name="*がんばるぞい(両)※"
D=4 V=0 M=* Name="*頬(両)※"
D=4 V=0 M=+ Name="+悩む(右)※"
D=4 V=0 M=+ Name="+しー(右)※"
D=4 V=0 M=* Name="*ダブピ(両)※"
D=3 V=1 M=  Name="双子コーデ腕"
D=4 V=1 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*つんつん"
D=4 V=0 M=* Name="*がんばるぞい(両)※"
D=4 V=0 M=* Name="*頬(両)※"
D=4 V=0 M=+ Name="+悩む(右)※"
D=4 V=0 M=+ Name="+しー(右)※"
D=4 V=0 M=* Name="*ばんざいぐー"
D=4 V=0 M=* Name="*ばんざいちょき"
D=4 V=0 M=* Name="*ばんざいぱー"
D=4 V=0 M=* Name="*ダブピ(両)※2"
D=3 V=0 M=  Name="茜冬服腕"
D=4 V=0 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*つんつん"
D=4 V=0 M=* Name="*がんばるぞい(両)※"
D=4 V=0 M=* Name="*頬(両)※"
D=4 V=0 M=+ Name="+悩む(右)※"
D=4 V=0 M=+ Name="+しー(右)※"
D=4 V=0 M=* Name="*ばんざいぐー"
D=4 V=0 M=* Name="*ばんざいちょき"
D=4 V=0 M=* Name="*ばんざいぱー"
D=4 V=0 M=* Name="*ダブピ(両)※2"
D=3 V=0 M=  Name="茜夏服腕"
D=4 V=1 M=* Name="*通常"
D=4 V=0 M=* Name="*腰"
D=4 V=0 M=* Name="*きゅ"
D=4 V=0 M=* Name="*グー"
D=4 V=0 M=* Name="*チョキ"
D=4 V=0 M=* Name="*パー"
D=4 V=0 M=* Name="*お手上げ"
D=4 V=0 M=* Name="*猫手"
D=4 V=0 M=* Name="*つんつん"
D=4 V=0 M=* Name="*がんばるぞい(両)※"
D=4 V=0 M=* Name="*頬(両)※"
D=4 V=0 M=+ Name="+悩む(右)※"
D=4 V=0 M=+ Name="+しー(右)※"
D=4 V=0 M=* Name="*ばんざいぐー"
D=4 V=0 M=* Name="*ばんざいちょき"
