[PSDMarkerDump] Kind=pikNone Caption="不明" File="D:\aviutl110\PSD_Data\結月ゆかり立ち絵ver5.0_PSDのみ\結月ゆかり立ち絵ver5.0_PSDのみ\結月ゆかり立ち絵.psd"
[PSDMarkerRoute] HasStarLayer=False after custom markers -> ApplyVirtualMarker("*")

D=0 V=1 M=! Name="!v1"
D=1 V=0 M=  Name="感情表現"
D=2 V=0 M=* Name="*痛い"
D=2 V=0 M=* Name="*落ち込み"
D=2 V=0 M=* Name="*眠気"
D=2 V=0 M=* Name="*ため息"
D=2 V=0 M=* Name="*不満"
D=2 V=0 M=* Name="*笑い"
D=2 V=0 M=* Name="*ぴこーん"
D=2 V=0 M=* Name="*キラキラ"
D=2 V=0 M=* Name="*おこ"
D=2 V=0 M=* Name="*はぁと"
D=2 V=0 M=* Name="*あせあせ"
D=2 V=0 M=* Name="*気付き"
D=2 V=0 M=* Name="*ギクリ"
D=2 V=0 M=* Name="*汗"
D=2 V=0 M=* Name="*♪"
D=2 V=0 M=* Name="*！？"
D=2 V=0 M=* Name="*？"
D=2 V=1 M=* Name="*！"
D=1 V=0 M=  Name="装飾"
D=2 V=0 M=* Name="*猫耳"
D=2 V=0 M=* Name="*犬耳"
D=2 V=1 M=* Name="*メガネ"
D=2 V=0 M=* Name="*練乳"
D=2 V=0 M=* Name="*返り血"
D=1 V=0 M=  Name="フードあり"
D=2 V=1 M=  Name="表情"
D=3 V=0 M=  Name="デフォルメ"
D=4 V=1 M=  Name="口"
D=5 V=0 M=* Name="*かなしみ"
D=5 V=0 M=* Name="*おこ"
D=5 V=0 M=* Name="*びっくり"
D=5 V=1 M=* Name="*えがお"
D=4 V=1 M=  Name="目"
D=5 V=0 M=* Name="*涙"
D=5 V=1 M=* Name="*通常"
D=4 V=1 M=  Name="眉"
D=5 V=0 M=* Name="*哀"
D=5 V=0 M=* Name="*困"
D=5 V=0 M=* Name="*怒"
D=5 V=1 M=* Name="*楽"
D=3 V=0 M=  Name="涙"
D=4 V=0 M=* Name="*号泣"
D=4 V=1 M=* Name="*涙"
D=3 V=1 M=  Name="口"
D=4 V=0 M=  Name="恐"
D=5 V=0 M=* Name="*絶叫"
D=5 V=1 M=* Name="*食いしばる"
D=4 V=0 M=  Name="哀&驚"
D=5 V=0 M=* Name="*おっ"
D=5 V=1 M=* Name="*驚き"
D=5 V=0 M=* Name="*堪え"
D=4 V=0 M=  Name="怒"
D=5 V=0 M=* Name="*ぎっ"
D=5 V=0 M=* Name="*ちゅー"
D=5 V=0 M=* Name="*むー"
D=5 V=0 M=* Name="*べー"
D=5 V=0 M=* Name="*膨れ"
D=5 V=0 M=* Name="*蔑み"
D=5 V=0 M=* Name="*呆れ"
D=5 V=0 M=* Name="*通常2"
D=5 V=1 M=* Name="*通常"
D=4 V=1 M=  Name="楽"
D=5 V=0 M=* Name="*ペロ"
D=5 V=0 M=* Name="*小動物"
D=5 V=0 M=* Name="*にかっ"
D=5 V=0 M=* Name="*引きつり"
D=5 V=0 M=* Name="*堪え"
D=5 V=0 M=* Name="*大笑い"
D=5 V=0 M=* Name="*えへへ"
D=5 V=0 M=* Name="*にしし"
D=5 V=0 M=* Name="*にやり"
D=5 V=0 M=* Name="*にんまり"
D=5 V=0 M=* Name="*笑2"
D=5 V=1 M=* Name="*笑"
D=3 V=1 M=  Name="目"
D=4 V=0 M=* Name="*三白眼3"
D=4 V=0 M=* Name="*三白眼2"
D=4 V=0 M=* Name="*三白眼1"
D=4 V=0 M=* Name="*アヘ顔"
D=4 V=0 M=* Name="*白目"
D=4 V=0 M=* Name="*ジト目4"
D=4 V=0 M=* Name="*ジト目3"
D=4 V=0 M=* Name="*細目2"
D=4 V=0 M=* Name="*通常2"
D=4 V=0 M=* Name="*恐怖"
D=4 V=0 M=* Name="*狂気"
D=4 V=0 M=* Name="*閉じ3"
D=4 V=0 M=* Name="*閉じ2"
D=4 V=0 M=* Name="*閉じ"
D=4 V=0 M=* Name="*驚き"
D=4 V=0 M=* Name="*ジト目2"
D=4 V=0 M=* Name="*ジト目"
D=4 V=0 M=* Name="*笑"
D=4 V=0 M=* Name="*細目"
D=4 V=1 M=* Name="*通常"
D=3 V=1 M=  Name="眉毛"
D=4 V=0 M=* Name="*疑"
D=4 V=0 M=* Name="*困"
D=4 V=0 M=* Name="*強気"
D=4 V=0 M=* Name="*怒"
D=4 V=0 M=* Name="*無表情"
D=4 V=0 M=* Name="*哀"
D=4 V=1 M=* Name="*楽"
D=4 V=0 M=* Name="*通常"
D=3 V=0 M=  Name="その他"
D=4 V=0 M=* Name="*吐息"
D=4 V=0 M=* Name="*流血"
D=4 V=0 M=* Name="*涎（笑用）"
D=4 V=0 M=* Name="*涎"
D=4 V=0 M=* Name="*涙"
D=4 V=0 M=* Name="*蒼白"
D=4 V=1 M=* Name="*影"
D=3 V=1 M=  Name="頬"
D=4 V=0 M=* Name="*赤面"
D=4 V=0 M=* Name="*照れ"
D=4 V=1 M=* Name="*通常"
D=2 V=1 M=  Name="結月ゆかり"
D=1 V=1 M=  Name="フードなし"
D=2 V=1 M=  Name="表情"
D=3 V=0 M=  Name="デフォルメ"
D=4 V=1 M=  Name="口"
D=5 V=0 M=* Name="*かなしみ"
D=5 V=0 M=* Name="*おこ"
D=5 V=0 M=* Name="*びっくり"
D=5 V=1 M=* Name="*えがお"
D=4 V=1 M=  Name="目"
D=5 V=0 M=* Name="*涙"
D=5 V=1 M=* Name="*通常"
D=4 V=1 M=  Name="眉"
D=5 V=0 M=* Name="*哀"
