デバッグ出力: [PSDMarkerDump] Stage=Before Kind=pikNone Root="" File="D:\aviutl110\PSD_Data\TohokuKiritan\東北きりたん\きりたん配布用.psd" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=0 V=1 M=! Name="!v1" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=1 V=1 M=  Name="マーク" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="花" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="ため息" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="ばってん" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="おこ" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="ひらめいた" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="ﾋﾞｸｯ" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="焦り" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="！" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="おっ" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="汗" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="もやもや" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="ぼのぼの汗" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="ぷんすこ" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="？反転" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="？" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="ハート" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="キラーン" プロセス Syncroh2_Desktop.exe (2416)
デバッグ出力: D=2 V=0 M=  Name="落ち込み" プロセス Syncroh2_Desktop.exe (2416)
