[PSDMarkerDump] Kind=pikNone Caption="荳肴・" File="D:\VoiceroidProj\PSD\ふらすこ\ふらすこ式立ち絵vol.2_東北きりたんver2.0\きりたん立ち絵.psd"
[PSDMarkerRoute] HasStarLayer=False after custom markers -> ApplyVirtualMarker("*")

D=0 V=1 M=! Name="!v1"
D=1 V=0 M=  Name="感情表現"
D=2 V=0 M=* Name="*プンスカ"
D=2 V=0 M=* Name="*痛い"
D=2 V=0 M=* Name="*落ち込み"
D=2 V=0 M=* Name="*眠気"
D=2 V=0 M=* Name="*ため息"
D=2 V=0 M=* Name="*不満"
D=2 V=0 M=* Name="*笑い"
D=2 V=0 M=* Name="*ぴこーん"
D=2 V=0 M=* Name="*キラキラ"
D=2 V=0 M=* Name="*おこ"
D=2 V=0 M=* Name="*はぁと"
D=2 V=0 M=* Name="*あせあせ"
D=2 V=0 M=* Name="*気付き"
D=2 V=0 M=* Name="*ギクリ"
D=2 V=0 M=* Name="*汗"
D=2 V=0 M=* Name="*♪"
D=2 V=0 M=* Name="*！？"
D=2 V=0 M=* Name="*？"
D=2 V=1 M=* Name="*！"
D=1 V=1 M=  Name="装飾"
D=2 V=0 M=* Name="*吐息"
D=2 V=0 M=* Name="*鼻血"
D=2 V=0 M=* Name="*喀血"
D=2 V=0 M=* Name="*練乳"
D=2 V=0 M=* Name="*汗2"
D=2 V=0 M=* Name="*汗"
D=2 V=0 M=* Name="*マフラー"
D=2 V=0 M=* Name="*丸眼鏡"
D=2 V=0 M=* Name="*眼鏡"
D=2 V=0 M=* Name="*マイク反転"
D=2 V=0 M=* Name="*マイク"
D=2 V=0 M=* Name="*ヘッドホン"
D=2 V=0 M=* Name="*猫耳"
D=2 V=0 M=* Name="*犬耳"
D=2 V=0 M=* Name="*リボン"
D=2 V=1 M=* Name="*包丁"
D=2 V=0 M=* Name="*警察帽"
D=2 V=0 M=* Name="*リボン後ろ"
D=2 V=0 M=* Name="*たんこぶ（包丁用）"
D=2 V=0 M=* Name="*たんこぶ"
D=1 V=1 M=  Name="表情"
D=2 V=0 M=  Name="デフォルメ"
D=3 V=0 M=  Name="顔文字"
D=4 V=0 M=* Name="*(｀・ω・´)"
D=4 V=0 M=* Name="*(´･ω･`)"
D=4 V=0 M=* Name="*^q^"
D=4 V=0 M=* Name="*(＾ω＾)"
D=4 V=1 M=* Name="*( ?ω?)"
D=3 V=1 M=  Name="口"
D=4 V=0 M=* Name="*かなしみ"
D=4 V=0 M=* Name="*おこ"
D=4 V=0 M=* Name="*びっくり"
D=4 V=1 M=* Name="*えがお"
D=3 V=1 M=  Name="目"
D=4 V=0 M=* Name="*涙"
D=4 V=1 M=* Name="*通常"
D=3 V=1 M=  Name="眉"
D=4 V=0 M=* Name="*哀"
D=4 V=0 M=* Name="*困"
D=4 V=0 M=* Name="*怒"
D=4 V=1 M=* Name="*楽"
D=2 V=0 M=  Name="涙"
D=3 V=0 M=* Name="*号泣"
D=3 V=1 M=* Name="*涙"
D=2 V=1 M=  Name="口"
D=3 V=0 M=  Name="恐"
D=4 V=0 M=* Name="*絶叫"
D=4 V=1 M=* Name="*食いしばる"
D=3 V=0 M=  Name="哀&驚"
D=4 V=0 M=* Name="*栗"
D=4 V=0 M=* Name="*おっ"
D=4 V=0 M=* Name="*驚き"
D=4 V=1 M=* Name="*堪え"
D=3 V=0 M=  Name="怒"
D=4 V=0 M=* Name="*ぎっ"
D=4 V=0 M=* Name="*ちゅー"
D=4 V=0 M=* Name="*むー"
D=4 V=0 M=* Name="*べー"
D=4 V=0 M=* Name="*膨れ"
D=4 V=0 M=* Name="*蔑み"
D=4 V=0 M=* Name="*呆れ"
D=4 V=0 M=* Name="*通常2"
D=4 V=1 M=* Name="*通常"
D=3 V=1 M=  Name="笑"
D=4 V=0 M=* Name="*ぺろ"
D=4 V=0 M=* Name="*小動物"
D=4 V=0 M=* Name="*にかっ"
D=4 V=0 M=* Name="*引きつり"
D=4 V=0 M=* Name="*堪え"
D=4 V=0 M=* Name="*大笑い"
D=4 V=0 M=* Name="*えへへ"
D=4 V=0 M=* Name="*にしし"
D=4 V=0 M=* Name="*にやり"
D=4 V=0 M=* Name="*にんまり"
D=4 V=0 M=* Name="*笑2"
D=4 V=1 M=* Name="*笑"
D=2 V=1 M=  Name="目"
D=3 V=0 M=* Name="*じろ"
D=3 V=0 M=* Name="*三白眼3"
D=3 V=0 M=* Name="*三白眼2"
D=3 V=0 M=* Name="*三白眼1"
D=3 V=0 M=* Name="*アヘ顔"
D=3 V=0 M=* Name="*白目"
D=3 V=0 M=* Name="*目線横6"
D=3 V=0 M=* Name="*目線横5"
D=3 V=0 M=* Name="*目線横4"
D=3 V=0 M=* Name="*目線横3"
D=3 V=0 M=* Name="*目線横2"
D=3 V=0 M=* Name="*目線横1"
D=3 V=0 M=* Name="*ハート"
D=3 V=0 M=* Name="*キラキラ"
D=3 V=0 M=* Name="*恐怖"
D=3 V=0 M=* Name="*狂気"
D=3 V=0 M=* Name="*驚き"
D=3 V=0 M=* Name="*閉じ3"
D=3 V=0 M=* Name="*閉じ2"
D=3 V=0 M=* Name="*閉じ1"
D=3 V=0 M=* Name="*笑顔"
D=3 V=0 M=* Name="*涙目3"
D=3 V=0 M=* Name="*涙目2"
D=3 V=0 M=* Name="*涙目"
D=3 V=0 M=* Name="*ジト目3"
D=3 V=0 M=* Name="*ジト目2"
D=3 V=0 M=* Name="*ジト目1"
D=3 V=0 M=* Name="*細目3"
D=3 V=0 M=* Name="*細目2"
D=3 V=0 M=* Name="*細目1"
