[PSDMarkerDump] Kind=pikYumeNoOwari Caption="ユメのオワリPSD" File="D:\VoiceroidProj\PSD\ユメのオワリ\小春六花立ち絵v01_01\小春六花立ち絵（ユメのオワリ）v01_01.psd"
[PSDMarkerRoute] HasStarLayer=True after custom markers -> ApplyVirtualMarker("+")

D=0 V=1 M=! Name="!v1"
D=1 V=0 M=  Name="効果"
D=2 V=0 M=+ Name="+むか"
D=2 V=0 M=+ Name="+あせ"
D=2 V=0 M=+ Name="+Σ"
D=2 V=0 M=+ Name="+さー"
D=2 V=0 M=+ Name="+はぁはぁ"
D=2 V=0 M=+ Name="+ぴこ"
D=2 V=0 M=+ Name="+はな"
D=2 V=1 M=  Name="あせあせ"
D=2 V=0 M=+ Name="+いらいら"
D=2 V=0 M=+ Name="+ぐるぐる"
D=2 V=0 M=+ Name="+♡"
D=2 V=0 M=+ Name="+ふう"
D=1 V=1 M=  Name="前アクセサリー"
D=2 V=1 M=  Name="髪飾り"
D=2 V=0 M=+ Name="+髪飾り反転"
D=2 V=0 M=+ Name="+髪飾り2"
D=2 V=0 M=+ Name="+ヘアピン1"
D=2 V=0 M=+ Name="+ヘアピン2"
D=2 V=0 M=+ Name="+ヘアピン3"
D=2 V=0 M=+ Name="+ヘアピン4"
D=2 V=0 M=+ Name="+ヘアピン5"
D=2 V=0 M=+ Name="+眼鏡1"
D=2 V=0 M=+ Name="+メガネ1"
D=2 V=0 M=+ Name="+メガネ1くもり"
D=2 V=0 M=+ Name="+メガネ2黒"
D=2 V=0 M=+ Name="+メガネ2緑"
D=1 V=1 M=  Name="表情"
D=2 V=1 M=  Name="前髪(60%)"
D=2 V=0 M=  Name="影"
D=3 V=1 M=  Name="薄い"
D=3 V=0 M=+ Name="+濃い"
D=2 V=1 M=* Name="*表情セット"
D=3 V=1 M=* Name="*普通"
D=3 V=0 M=* Name="*普通こっち"
D=3 V=0 M=* Name="*普通ワ"
D=3 V=0 M=* Name="*普通ワこっち"
D=3 V=0 M=* Name="*普通△"
D=3 V=0 M=* Name="*普通△こっち"
D=3 V=0 M=* Name="*普通にやー"
D=3 V=0 M=* Name="*普通にやーこっち"
D=3 V=0 M=* Name="*普通とじ"
D=3 V=0 M=* Name="*ぶー"
D=3 V=0 M=* Name="*泣き"
D=3 V=0 M=* Name="*ぐるぐる"
D=3 V=0 M=* Name="*ぐぬぬ"
D=3 V=0 M=* Name="*ぐわんぐわん"
D=3 V=0 M=* Name="*じとー■"
D=3 V=0 M=* Name="*じとー■こっち"
D=3 V=0 M=* Name="*困惑"
D=3 V=0 M=* Name="*困惑こっち"
D=3 V=0 M=* Name="*つーん"
D=3 V=0 M=* Name="*つーんこっち"
D=3 V=0 M=* Name="*きらーん"
D=3 V=0 M=* Name="*きらーんこっち"
D=3 V=0 M=* Name="*にやー"
D=3 V=0 M=* Name="*にやーこっち"
D=3 V=0 M=* Name="*はーとあわわこっち"
D=3 V=0 M=* Name="*はーとあわわ"
D=3 V=0 M=* Name="*てれてれ"
D=3 V=0 M=* Name="*てれてれこっち"
D=3 V=0 M=* Name="*じと◇"
D=3 V=0 M=* Name="*じと◇こっち"
D=3 V=0 M=* Name="*むかー"
D=3 V=0 M=* Name="*むかーこっち"
D=3 V=0 M=* Name="*むー"
D=3 V=0 M=* Name="*むーこっち"
D=3 V=0 M=* Name="*きらーん"
D=3 V=0 M=* Name="*あわわわわ"
D=3 V=0 M=* Name="*＞＜"
D=3 V=0 M=* Name="*むきー"
D=3 V=0 M=* Name="*小悪魔"
D=3 V=0 M=* Name="*小悪魔こっち"
D=3 V=0 M=* Name="*小悪魔ハート"
D=3 V=0 M=* Name="*小悪魔ハートこっち"
D=3 V=0 M=* Name="*ふーん"
D=3 V=0 M=* Name="*ふーんこっち"
D=3 V=0 M=* Name="*ぷくー"
D=3 V=0 M=* Name="*ぷくーこっち"
D=3 V=0 M=* Name="*H"
D=3 V=0 M=* Name="*--"
D=3 V=0 M=* Name="*白〇"
D=3 V=0 M=* Name="*＝＝"
D=3 V=0 M=* Name="*無"
D=3 V=0 M=* Name="*無こっち"
D=3 V=0 M=* Name="*ぎりぎり"
D=3 V=0 M=* Name="*ぎりぎりこっち"
D=3 V=0 M=* Name="*じとぺろ"
D=3 V=0 M=* Name="*じとぺろこっち"
D=3 V=0 M=* Name="*あばばばば"
D=3 V=0 M=* Name="*催眠"
D=3 V=0 M=* Name="*催眠こっち"
