[PSDMarkerDump] Kind=pikYumeNoOwari Caption="ユメのオワリPSD" File="D:\aviutl110\PSD_Data\ユメのオワリ\琴葉葵立ち絵v01.09\琴葉葵立ち絵v01.09.psd"
[PSDMarkerRoute] HasStarLayer=True after custom markers -> ApplyVirtualMarker("+")

D=0 V=1 M=! Name="!v1"
D=1 V=0 M=  Name="効果"
D=2 V=0 M=+ Name="+ハート"
D=2 V=0 M=+ Name="+怒り"
D=2 V=0 M=+ Name="+はぁはぁ"
D=2 V=0 M=+ Name="+あせあせ"
D=2 V=0 M=+ Name="+ふんす"
D=2 V=0 M=+ Name="+汗"
D=2 V=0 M=+ Name="+Σ"
D=1 V=0 M=  Name="■くっつく葵ちゃん(下半身は下の方に、未対応のものあり)"
D=2 V=1 M=  Name="表情"
D=3 V=0 M=  Name="影"
D=4 V=0 M=+ Name="+影1"
D=4 V=0 M=+ Name="+影2"
D=4 V=0 M=+ Name="+影（鼻無し）"
D=3 V=0 M=  Name="汗"
D=4 V=1 M=  Name="汗"
D=3 V=1 M=* Name="*表情セット"
D=4 V=0 M=* Name="*葵普通目1"
D=4 V=0 M=* Name="*葵普通目2"
D=4 V=1 M=* Name="*葵普通1こっち"
D=4 V=0 M=* Name="*葵普通2こっち"
D=4 V=0 M=* Name="*茜普通目1"
D=4 V=0 M=* Name="*茜普通目2 "
D=4 V=0 M=* Name="*茜普通1こっち"
D=4 V=0 M=* Name="*茜普通2こっち"
D=4 V=0 M=* Name="*きらーん"
D=4 V=0 M=* Name="*きらーんこっち"
D=4 V=0 M=* Name="*すやー1"
D=4 V=0 M=* Name="*すやー2"
D=4 V=0 M=* Name="*＞＜1"
D=4 V=0 M=* Name="*＞＜2"
D=4 V=0 M=* Name="*にこ"
D=4 V=0 M=* Name="*白い目"
D=4 V=0 M=* Name="*白い目こっち"
D=4 V=0 M=* Name="*○"
D=4 V=0 M=* Name="*かなしい"
D=4 V=0 M=* Name="*何で？"
D=4 V=0 M=* Name="*かなしいこっち"
D=4 V=0 M=* Name="*何で？こっち"
D=4 V=0 M=* Name="*じと目あっち"
D=4 V=0 M=* Name="*じと目"
D=4 V=0 M=* Name="*じと目こっち"
D=4 V=0 M=* Name="*ウィンク"
D=4 V=0 M=* Name="*ウィンクこっち"
D=4 V=1 M=  Name="頬紅"
D=5 V=0 M=+ Name="+//////"
D=5 V=1 M=  Name="///"
D=3 V=0 M=* Name="*表情バラ"
D=4 V=1 M=  Name="目"
D=5 V=0 M=* Name="*普通目1 "
D=5 V=1 M=* Name="*普通1こっち"
D=5 V=0 M=* Name="*普通あっち"
D=5 V=0 M=* Name="*とじ"
D=5 V=0 M=* Name="*きらーん"
D=5 V=0 M=* Name="*きらーんこっち"
D=5 V=0 M=* Name="*＞＜"
D=5 V=0 M=* Name="*にこ"
D=5 V=0 M=* Name="*白い目"
D=5 V=0 M=* Name="*白い目こっち"
D=5 V=0 M=* Name="*○"
D=5 V=0 M=* Name="*細目"
D=5 V=0 M=* Name="*細目こっち"
D=5 V=0 M=* Name="*じと目あっち"
D=5 V=0 M=* Name="*じと目"
D=5 V=0 M=* Name="*じと目こっち"
D=5 V=0 M=* Name="*ウィンク"
D=5 V=0 M=* Name="*ウィンクこっち"
D=4 V=1 M=  Name="口"
D=5 V=0 M=* Name="*ぐにゃ口"
D=5 V=0 M=* Name="*茜普通口2"
D=5 V=0 M=* Name="*茜おこ口"
D=5 V=0 M=* Name="*すやー2 "
D=5 V=1 M=* Name="*葵普通口1"
D=5 V=0 M=* Name="*茜普通口1"
D=5 V=0 M=* Name="*すやー"
D=5 V=0 M=* Name="*3"
D=5 V=0 M=* Name="*にこ"
D=5 V=0 M=* Name="*にへら"
D=5 V=0 M=* Name="*おこ"
D=5 V=0 M=* Name="*とじ1"
D=5 V=0 M=* Name="*とじ2"
D=5 V=0 M=* Name="*む"
D=5 V=0 M=* Name="*にや"
D=5 V=0 M=* Name="*△"
D=5 V=0 M=* Name="*ぺろ"
D=5 V=0 M=* Name="*あ～"
D=5 V=0 M=* Name="*ちゅー"
D=5 V=0 M=* Name="*ぅあ"
D=5 V=0 M=* Name="*にやり"
D=5 V=0 M=* Name="*うぇ"
D=4 V=1 M=  Name="眉"
D=5 V=0 M=* Name="*おこまゆ"
D=5 V=0 M=* Name="*ぐにゃは2"
D=5 V=0 M=* Name="*茜普通眉2"
D=5 V=1 M=* Name="*普通1"
