デバッグ出力: [PSDMarkerDump] Stage=Before Kind=pikYumeNoOwari Root="" File="D:\aviutl110\PSD_Data\小春六花立ち絵（ユメのオワリ）v01_01.psd" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=0 V=1 M=! Name="!v1" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=1 V=0 M=  Name="効果" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="むか" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="あせ" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="Σ" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="さー" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="はぁはぁ" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="ぴこ" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="はな" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=1 M=  Name="あせあせ" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="いらいら" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="ぐるぐる" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="?" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="ふう" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=1 V=1 M=  Name="前アクセサリー" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=1 M=  Name="髪飾り" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="髪飾り反転" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="髪飾り2" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="ヘアピン1" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="ヘアピン2" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="ヘアピン3" プロセス Syncroh2_Desktop.exe (6696)
デバッグ出力: D=2 V=0 M=  Name="ヘアピン4" プロセス Syncroh2_Desktop.exe (6696)
