デバッグ出力: [PSDMarkerDump] Stage=Before Kind=pikKarai Root="" File="D:\aviutl110\PSD_Data\琴葉茜立ち絵v01.09.psd" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=0 V=1 M=! Name="!v1" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=1 V=0 M=  Name="効果" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=2 V=0 M=  Name="ハート" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=2 V=0 M=  Name="怒り" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=2 V=0 M=  Name="はぁはぁ" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=2 V=0 M=  Name="あせあせ" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=2 V=0 M=  Name="ふんす" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=2 V=0 M=  Name="汗" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=2 V=0 M=  Name="Σ" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=1 V=0 M=  Name="■くっつく葵ちゃん(下半身は下の方に、未対応のものあり)" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=2 V=1 M=  Name="表情" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=3 V=1 M=  Name="影" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=4 V=0 M=  Name="影1" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=4 V=0 M=  Name="影2" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=4 V=0 M=  Name="影（鼻無し）" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=3 V=0 M=  Name="汗" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=4 V=1 M=* Name="*汗" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=3 V=1 M=* Name="*表情セット" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=4 V=0 M=* Name="*葵普通目1" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=4 V=0 M=* Name="*葵普通目2" プロセス Syncroh2_Desktop.exe (8456)
デバッグ出力: D=4 V=1 M=* Name="*葵普通1こっち" プロセス Syncroh2_Desktop.exe (8456)
