[PSDMarkerDump] Kind=pikSaiyouWagashiTsukuyomi Caption="西妖和菓子_つくよみちゃんPSD" File="D:\VoiceroidProj\PSD\西妖和菓子\【フリー素材】つくよみちゃん2\【フリー素材】つくよみちゃん2.psd"
[PSDMarkerRoute] HasStarLayer=False after custom markers -> ApplyVirtualMarker("*")

D=0 V=1 M=! Name="!v1"
D=1 V=1 M=  Name="つくよみちゃん"
D=2 V=1 M=  Name="髪飾り"
D=3 V=1 M=* Name="*白"
D=3 V=0 M=* Name="*黒"
D=2 V=1 M=  Name="髪１"
D=3 V=1 M=* Name="*白"
D=3 V=0 M=* Name="*黒"
D=2 V=1 M=  Name="腕"
D=3 V=1 M=  Name="白"
D=4 V=1 M=  Name="左腕"
D=5 V=0 M=* Name="*３"
D=5 V=0 M=* Name="*２"
D=5 V=1 M=* Name="*１"
D=4 V=1 M=  Name="右腕"
D=5 V=0 M=* Name="*３"
D=5 V=0 M=* Name="*２"
D=5 V=1 M=* Name="*１"
D=3 V=0 M=  Name="黒"
D=4 V=1 M=  Name="左腕"
D=5 V=0 M=* Name="*３"
D=5 V=0 M=* Name="*２"
D=5 V=1 M=* Name="*１"
D=4 V=1 M=  Name="右腕"
D=5 V=0 M=* Name="*３"
D=5 V=0 M=* Name="*２"
D=5 V=1 M=* Name="*１"
D=2 V=1 M=  Name="前髪"
D=3 V=1 M=* Name="*白"
D=3 V=0 M=* Name="*黒"
D=2 V=1 M=  Name="表情"
D=3 V=1 M=  Name="頬"
D=4 V=0 M=* Name="*２"
D=4 V=1 M=* Name="*１"
D=3 V=1 M=  Name="まゆ"
D=4 V=0 M=* Name="*３"
D=4 V=0 M=* Name="*２"
D=4 V=1 M=* Name="*１"
D=3 V=1 M=  Name="目"
D=4 V=0 M=  Name="14"
D=5 V=1 M=* Name="*右目"
D=5 V=1 M=* Name="*左目"
D=4 V=0 M=* Name="*13"
D=4 V=0 M=* Name="*12"
D=4 V=0 M=* Name="*11"
D=4 V=0 M=* Name="*10"
D=4 V=0 M=* Name="*09"
D=4 V=0 M=  Name="08"
D=5 V=1 M=* Name="*右目"
D=5 V=1 M=* Name="*左目"
D=4 V=0 M=  Name="07"
D=5 V=1 M=* Name="*右目"
D=5 V=1 M=* Name="*左目"
D=4 V=0 M=  Name="06"
D=5 V=1 M=  Name="白"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=5 V=0 M=  Name="黒"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=4 V=0 M=  Name="05"
D=5 V=1 M=  Name="白"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=5 V=0 M=  Name="黒"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=4 V=0 M=  Name="04"
D=5 V=1 M=  Name="白"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=5 V=1 M=  Name="黒"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=4 V=0 M=  Name="03"
D=5 V=1 M=  Name="白"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=5 V=0 M=  Name="黒"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=4 V=0 M=  Name="02"
D=5 V=1 M=  Name="白"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=5 V=0 M=  Name="黒"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=4 V=0 M=  Name="01"
D=5 V=1 M=  Name="白"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=5 V=0 M=  Name="黒"
D=6 V=1 M=* Name="*右目"
D=6 V=1 M=* Name="*左目"
D=4 V=1 M=  Name="00"
D=5 V=1 M=  Name="まつげ"
D=6 V=0 M=* Name="*４"
D=6 V=0 M=* Name="*３"
D=6 V=0 M=* Name="*２"
D=6 V=1 M=* Name="*１"
D=5 V=1 M=  Name="眼球"
D=6 V=1 M=  Name="大"
D=7 V=1 M=* Name="*白"
D=7 V=1 M=* Name="*黒"
D=6 V=0 M=  Name="小"
D=7 V=1 M=* Name="*白"
D=7 V=1 M=* Name="*黒"
D=5 V=1 M=  Name="白目"
D=6 V=0 M=* Name="*４"
D=6 V=0 M=* Name="*３"
D=6 V=0 M=* Name="*２"
D=6 V=1 M=* Name="*１"
D=3 V=1 M=  Name="くち"
D=4 V=0 M=* Name="*10"
D=4 V=0 M=* Name="*くち９"
D=4 V=0 M=* Name="*くち８"
D=4 V=0 M=* Name="*くち７"
D=4 V=0 M=* Name="*くち６"
D=4 V=0 M=* Name="*くち５"
D=4 V=0 M=* Name="*くち４"
D=4 V=0 M=* Name="*くち３"
D=4 V=0 M=* Name="*くち２"
D=4 V=1 M=* Name="*くち１"
D=2 V=1 M=  Name="身体"
D=3 V=1 M=  Name="白"
D=4 V=1 M=* Name="*通常"
D=4 V=0 M=* Name="*顔影あり"
D=3 V=0 M=  Name="黒"
D=4 V=1 M=* Name="*通常"
D=4 V=0 M=* Name="*顔影あり"
D=2 V=0 M=  Name="髪２"
D=3 V=1 M=* Name="*白"
D=3 V=0 M=* Name="*黒"
D=2 V=0 M=  Name="髪３"
D=3 V=1 M=* Name="*白"
D=3 V=1 M=* Name="*黒"
D=1 V=0 M=  Name="背景色"

[PSDMarkerDumpEnd]
